					
Image size	720x480	1024x768	1920x1200	3840x2160	7680x4320
Seq	9.63	21.58	64.49	229.01	932.31
					
Par 1 - 4 T	1.9732	3.4667	8.1109	32.1141	126.6603
Par 1 - 8 T	1.0845	2.3445	5.1617	20.2174	90.1484
Par 1 - 16 T	0.8811	2.0034	5.2034	15.1698	65.112
Par 1 - 32 T	0.7792	1.8166	4.4732	12.1949	38.9948
					
					
					
Par 2- 4 T	1.9979	3.4525	8.4476	28.1093	106.1755
Par 2 - 8 T	1.1036	2.3626	5.1872	16.5436	61.9152
Par 2 - 16 T	0.9548	2.1046	4.8291	11.5741	62.7373
Par 2 - 32 T	0.9787	2.0056	4.7549	10.0216	36.7752
					
					
					
Par 3- 4 T	0.5434	1.2381	2.881	8.1201	28.454
Par 3 - 8 T	0.1636	0.3588	1.0313	3.4158	10.3093
Par 3 - 16 T	0.0722	0.1576	0.3986	1.1417	4.2135
Par 3 - 32 T	0.0396	0.0808	0.1722	0.4665	1.5214
Par 3 - 64 T	0.0271	0.0508	0.087	0.2978	0.7868
Par 3 - 128 T	0.0247	0.0394	0.0618	0.1318	0.4403
					
					
Par 1 - 4 T	4.880397324	6.224940145	7.951028862	7.131135545	7.360712078
Par 1 - 8 T	8.87966805	9.20452122	12.49394579	11.32737147	10.34194728
Par 1 - 16 T	10.92951992	10.77168813	12.39381943	15.09644161	14.31855879
Par 1 - 32 T	12.35882957	11.87933502	14.41697219	18.77916178	23.90857243
Par 1 - 64 T	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
Par 1 - 128 T	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!	#DIV/0!
					
Par 2- 4 T	4.820061064	6.250543085	7.634120934	8.147125684	8.780839271
Par 2 - 8 T	8.725987677	9.13400491	12.43252622	13.84281535	15.05785332
Par 2 - 16 T	10.08588186	10.25372992	13.35445528	19.78641968	14.86053751
Par 2 - 32 T	9.83958312	10.75987236	13.56285095	22.85164046	25.35159564
Par 2 - 64 T					
Par 2 - 128 T					
					
Par 3- 4 T	17.72175193	17.42993296	22.38458868	28.20285464	32.76551627
Par 3 - 8 T	58.86308068	60.14492754	62.53272569	67.04432344	90.43388009
Par 3 - 16 T	27.32963989	21.99682741	20.34846964	28.12831742	30.06059096
Par 3 - 32 T	49.82828283	42.90470297	47.10162602	68.84051447	83.25246484
Par 3 - 64 T	32.51291513	39.43700787	59.8091954	50.93955675	82.75546518
Par 3 - 128 T	35.67206478	50.84771574	84.197411	115.0971168	147.8809902
					
					
					
